,Patient,Block,Cancel_cost
0,0.0,11.0,877.1999999999999
1,1.0,17.0,1583.4
2,2.0,1.0,886.8
3,3.0,20.0,1212.9
4,4.0,29.0,2032.8
5,5.0,9.0,1316.1
6,6.0,4.0,1568.1
7,7.0,5.0,816.0
8,8.0,-1.0,0.0
9,9.0,11.0,1737.3
10,10.0,6.0,986.4
11,11.0,15.0,1208.7
12,12.0,25.0,1749.9
13,13.0,3.0,1007.1
14,14.0,31.0,783.0
15,15.0,-1.0,0.0
16,16.0,30.0,637.1999999999999
17,17.0,31.0,1448.1
18,18.0,11.0,944.7
19,19.0,15.0,1466.1
20,20.0,1.0,936.0
21,21.0,30.0,1338.3
22,22.0,23.0,855.9000000000001
23,23.0,17.0,704.4
24,24.0,6.0,919.8
25,25.0,5.0,1632.3
26,26.0,19.0,1459.5
27,27.0,-1.0,0.0
28,28.0,6.0,1655.4
29,29.0,2.0,1591.5
30,30.0,23.0,1125.0
31,31.0,1.0,2399.1
32,32.0,4.0,745.5
33,33.0,16.0,1033.8
34,34.0,20.0,1695.9
35,35.0,28.0,1500.0
36,36.0,21.0,812.4
37,37.0,-1.0,0.0
38,38.0,18.0,672.0
39,39.0,14.0,1200.0
40,40.0,3.0,1200.0
41,41.0,23.0,714.3
42,42.0,7.0,1800.0
43,43.0,-1.0,0.0
44,44.0,4.0,607.8000000000001
45,45.0,24.0,615.0
46,46.0,27.0,661.1999999999999
47,47.0,3.0,621.5999999999999
48,48.0,16.0,689.4
49,49.0,8.0,1800.0
50,50.0,14.0,1175.4
51,51.0,-1.0,0.0
52,52.0,10.0,1647.0
53,53.0,26.0,755.1
54,54.0,-1.0,0.0
55,55.0,15.0,1183.1999999999998
56,56.0,23.0,1044.3000000000002
57,57.0,19.0,1455.6
58,58.0,27.0,732.0
59,59.0,0.0,1611.6
60,60.0,4.0,1158.6
61,61.0,26.0,1663.5
62,62.0,-1.0,0.0
63,63.0,27.0,958.8
64,64.0,-1.0,0.0
65,65.0,5.0,768.0
66,66.0,21.0,814.8
67,67.0,15.0,1800.0
68,68.0,-1.0,0.0
69,69.0,29.0,1127.1
70,70.0,3.0,1072.8
71,71.0,10.0,1139.1
72,72.0,-1.0,0.0
73,73.0,13.0,1725.3
74,74.0,21.0,1278.9
75,75.0,27.0,618.6
76,76.0,2.0,1200.0
77,77.0,-1.0,0.0
78,78.0,-1.0,0.0
79,79.0,24.0,737.7
80,80.0,25.0,1630.5
81,81.0,17.0,896.4
82,82.0,2.0,1674.6
83,83.0,-1.0,0.0
84,84.0,24.0,1044.6
85,85.0,9.0,1313.4
86,86.0,8.0,1200.0
87,87.0,3.0,484.2000000000001
88,88.0,-1.0,0.0
89,89.0,5.0,958.8
90,90.0,18.0,784.2
91,91.0,28.0,1200.0
92,92.0,10.0,471.3
93,93.0,-1.0,0.0
94,94.0,18.0,921.6
95,95.0,1.0,600.0
96,96.0,29.0,593.4000000000001
97,97.0,11.0,1692.0
98,98.0,24.0,1200.0
99,99.0,13.0,874.2
100,100.0,6.0,600.0
101,101.0,29.0,647.7
102,102.0,-1.0,0.0
103,103.0,31.0,1479.3000000000002
104,104.0,22.0,1554.6
105,105.0,7.0,1074.3000000000002
106,106.0,17.0,1357.2
107,107.0,11.0,602.7
108,108.0,10.0,835.2
109,109.0,28.0,1085.4
110,110.0,26.0,1200.0
111,111.0,19.0,1800.0
112,112.0,12.0,372.6
113,113.0,17.0,1127.1
114,114.0,30.0,1800.0
115,115.0,18.0,927.3
116,116.0,30.0,756.0
117,117.0,23.0,641.7
118,118.0,19.0,627.3
119,119.0,22.0,1059.6
120,120.0,2.0,1063.5
121,121.0,25.0,431.7000000000001
122,122.0,-1.0,0.0
123,123.0,0.0,1200.0
124,124.0,16.0,875.7
125,125.0,14.0,910.8
126,126.0,24.0,617.4
127,127.0,22.0,1059.0
128,128.0,13.0,953.1
129,129.0,18.0,994.2
130,130.0,7.0,1087.5
131,131.0,10.0,1225.5
132,132.0,0.0,2049.6
133,133.0,-1.0,0.0
134,134.0,12.0,938.7
135,135.0,29.0,1196.1
136,136.0,9.0,1238.7
137,137.0,8.0,1436.4
138,138.0,-1.0,0.0
139,139.0,20.0,1400.6999999999998
