,Block,Specialty,Day,Electives,Emergencies,Start_times
0,0,GAS,1,3,0,"[0, 137, 306]"
1,1,CAR,1,4,0,"[0, 102, 221, 339]"
2,2,ORT,1,4,0,"[0, 122, 259, 400]"
3,3,GYN,1,5,0,"[0, 91, 179, 285, 373]"
4,4,URO,1,4,1,"[0, 73, 148, 237, 329]"
5,5,CAR,1,4,0,"[0, 102, 221, 339]"
6,6,URO,1,4,1,"[0, 73, 148, 237, 329]"
7,7,GAS,2,3,0,"[0, 137, 306]"
8,8,ORT,2,3,0,"[0, 146, 312]"
9,9,ORT,2,3,0,"[0, 146, 312]"
10,10,GYN,2,5,0,"[0, 91, 179, 285, 373]"
11,11,GYN,2,5,0,"[0, 91, 179, 285, 373]"
12,12,URO,2,2,2,"[0, 85, 167, 310]"
13,13,GAS,3,3,0,"[0, 137, 306]"
14,14,GAS,3,3,0,"[0, 137, 306]"
15,15,CAR,3,4,0,"[0, 102, 221, 339]"
16,16,MED,3,3,1,"[0, 101, 208, 317]"
17,17,GYN,3,5,0,"[0, 91, 179, 285, 373]"
18,18,GYN,3,5,0,"[0, 91, 179, 285, 373]"
19,19,URO,3,4,1,"[0, 73, 148, 237, 329]"
20,20,ORT,3,3,0,"[0, 146, 312]"
21,21,GAS,4,3,0,"[0, 137, 306]"
22,22,ORT,4,3,0,"[0, 146, 312]"
23,23,GYN,4,5,0,"[0, 91, 179, 285, 373]"
24,24,GYN,4,5,0,"[0, 91, 179, 285, 373]"
25,25,URO,4,3,2,"[0, 63, 136, 232, 356]"
26,26,GAS,5,3,0,"[0, 137, 306]"
27,27,CAR,5,4,0,"[0, 102, 221, 339]"
28,28,ORT,5,3,0,"[0, 146, 312]"
29,29,GYN,5,5,0,"[0, 91, 179, 285, 373]"
30,30,URO,5,4,1,"[0, 73, 148, 237, 329]"
31,31,CAR,5,3,1,"[0, 101, 213, 337]"
