,Block,Specialty,Day,Electives,Emergencies,Start_times
0,0,GAS,1,2,0,"[0, 207]"
1,1,CAR,1,3,0,"[0, 148, 300]"
2,2,ORT,1,2,0,"[0, 199]"
3,3,GYN,1,1,2,"[0, 114, 280]"
4,4,URO,1,5,0,"[0, 82, 164, 270, 368]"
5,5,CAR,1,3,0,"[0, 148, 300]"
6,6,URO,1,4,0,"[0, 110, 220, 328]"
7,7,GAS,2,2,0,"[0, 207]"
8,8,ORT,2,2,1,"[0, 154, 318]"
9,9,ORT,2,2,1,"[0, 154, 318]"
10,10,GYN,2,4,0,"[0, 99, 229, 343]"
11,11,GYN,2,4,0,"[0, 99, 229, 343]"
12,12,URO,2,5,0,"[0, 82, 164, 270, 368]"
13,13,GAS,3,3,0,"[0, 137, 306]"
14,14,GAS,3,2,0,"[0, 207]"
15,15,CAR,3,3,0,"[0, 148, 300]"
16,16,MED,3,6,0,"[0, 77, 158, 263, 341, 427]"
17,17,GYN,3,4,0,"[0, 99, 229, 343]"
18,18,GYN,3,4,0,"[0, 99, 229, 343]"
19,19,URO,3,3,1,"[0, 99, 197, 297]"
20,20,ORT,3,2,1,"[0, 154, 318]"
21,21,GAS,4,2,0,"[0, 207]"
22,22,ORT,4,2,1,"[0, 154, 318]"
23,23,GYN,4,4,0,"[0, 99, 229, 343]"
24,24,GYN,4,4,0,"[0, 99, 229, 343]"
25,25,URO,4,3,1,"[0, 99, 197, 297]"
26,26,GAS,5,3,0,"[0, 137, 306]"
27,27,CAR,5,3,0,"[0, 148, 300]"
28,28,ORT,5,2,1,"[0, 154, 318]"
29,29,GYN,5,4,0,"[0, 99, 229, 343]"
30,30,URO,5,3,1,"[0, 99, 197, 297]"
31,31,CAR,5,3,0,"[0, 148, 300]"
